Index,Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
0,AMD Ryzen 9 5950X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000059,100-100000059WOF,,11/5/2020,16,32,,,3.4GHz,Up to 4.9GHz,,8MB,64MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Not included,,105W,,90°C,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
1,AMD Ryzen 9 5900X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000061,100-100000061WOF,,11/5/2020,12,24,,,3.7GHz,Up to 4.8GHz,,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Not included,,105W,,90°C,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
2,AMD Ryzen 7 5800X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,100-000000063,100-100000063WOF,,11/5/2020,8,16,,,3.8GHz,Up to 4.7GHz,,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Not included,,105W,,90°C,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
3,AMD Ryzen 5 5600X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,100-000000065,100-100000065BOX,100-100000065MPK,11/5/2020,6,12,,,3.7GHz,Up to 4.6GHz,,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Wraith Stealth,,65W,,95°C,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
4,AMD Ryzen 9 3900XT,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,,100-100000277WOF,,7/2020,12,24,,,3.8GHz,Up to 4.7GHz,,6MB,64MB,Yes,TSMC 7nm FinFET,,,PCIe 4.0,Not included,,105W,,,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Ryzen™ Master Utility",,
5,AMD Ryzen 7 3800XT,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,,100-100000279WOF,,7/2020,8,16,,,3.9GHz,Up to 4.7GHz,,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Not included,,105W,,,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Ryzen™ Master Utility",,
6,AMD Ryzen 5 3600XT,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,,100-100000281BOX,,7/2020,6,12,,,3.8GHz,Up to 4.5GHz,,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Wraith Spire,,95W,,,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
7,AMD Ryzen Threadripper PRO 3995WX,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,Desktop,100-000000087,,,7/14/2020,64,128,,,2.7GHz,Up to 4.2GHz,4096KB,32MB,256MB,No,TSMC 7nm FinFET,,1P,PCIe 4.0,,,280W,,90°C,Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.,Up to 3200MHz,DDR4,8,,,Discrete Graphics Card Required,,AMD Zen Core Architecture,,
8,AMD Ryzen Threadripper PRO 3975WX,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,Desktop,100-000000086,,,7/14/2020,32,64,,,3.5GHz,Up to 4.2GHz,2048KB,16MB,128MB,No,TSMC 7nm FinFET,,1P,PCIe 4.0,,,280W,,90°C,Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.,Up to 3200MHz,DDR4,8,,,Discrete Graphics Card Required,,AMD Zen Core Architecture,,
9,AMD Ryzen Threadripper PRO 3955WX,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,Desktop,100-000000167,,,7/14/2020,16,32,,,3.9GHz,Up to 4.3GHz,1024KB,8MB,64MB,No,TSMC 7nm FinFET,,1P,PCIe 4.0,,,280W,,90°C,Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.,Up to 3200MHz,DDR4,8,,,Discrete Graphics Card Required,,AMD Zen Core Architecture,,
10,AMD Ryzen Threadripper PRO 3945WX,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,Desktop,100-000000168,,,7/14/2020,12,24,,,4.0GHz,Up to 4.3GHz,768KB,6MB,64MB,No,TSMC 7nm FinFET,,1P,PCIe 4.0,,,280W,,90°C,Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.,Up to 3200MHz,DDR4,8,,,Discrete Graphics Card Required,,AMD Zen Core Architecture,,
11,AMD Ryzen Threadripper 3990X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000163,100-100000163WOF,,2/7/2020,64,128,,,2.9GHz,Up to 4.3GHz,4096KB,32MB,256MB,Yes,TSMC 7nm FinFET,sTRX4,,PCIe 4.0,Not included,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
