Index,Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating,GPUType,CPUType
0,0,36276693,96%,89%,76%,AMD Ryzen 3 3200G,80.90%,Nvidia RTX 2060S (Super),113.20%,Nvidia,AMD
1,1,36276701,121%,91%,122%,AMD Ryzen 7 2700X,84%,Nvidia RTX 3060-Ti,139.80%,Nvidia,AMD
2,2,36276704,12%,76%,12%,Intel Core i7-4910MQ,79.80%,Nvidia Quadro K2100M,7.20%,Nvidia,Intel
3,3,36280154,24%,77%,19%,Intel Core i5-3470S,69.40%,Nvidia GTX 660-Ti,27%,Nvidia,Intel
4,4,36280160,36%,79%,29%,Intel Core i7-2600,74.50%,Nvidia GTX 1650,45.70%,Nvidia,Intel
5,5,36280163,53%,92%,49%,Intel Core i7-8700K,89.60%,Nvidia GTX 970,52.10%,Nvidia,Intel
6,6,36280171,68%,92%,61%,Intel Core i7-9750H,87.70%,Nvidia GTX 1660-Ti (Mobile),72.90%,Nvidia,Intel
7,7,36280182,7%,62%,6%,Intel Core i5-5257U,62.30%,Intel Iris Pro HD 6100 (Mobile),5.90%,Intel,Intel
8,9,36280187,127%,87%,119%,AMD Ryzen 5 3600X,85.50%,Nvidia RTX 3060-Ti,150.60%,Nvidia,AMD
9,10,36280190,7%,56%,7%,Intel Core i5-3230M,57.30%,Intel HD 4000 (Mobile 1.25 GHz),3%,Intel,Intel
10,11,36280197,7%,69%,6%,Intel Core i5-8400,77.30%,Intel UHD Graphics 630 (Desktop Coffee Lake i5 i7),4.50%,Intel,Intel
11,12,36280359,16%,67%,13%,AMD FX-6300,61%,AMD Radeon RX 560-B,21.60%,AMD,AMD
12,13,36280363,101%,94%,104%,AMD Ryzen 7 3700X,92.80%,AMD RX 5700-XT,107.20%,AMD,AMD
13,14,36280372,19%,81%,17%,AMD Ryzen 5 4500U,83.30%,AMD Radeon Graphics,12%,AMD,AMD
14,15,36280375,108%,97%,106%,AMD Ryzen 5 3600X,88%,AMD RX 5700-XT,117.70%,AMD,AMD
15,16,36280380,132%,102%,122%,Intel Core i7-9700K,98.20%,Nvidia RTX 2080,131.80%,Nvidia,Intel
